Updated,03/19/2024

Currency,Rate VS USD
USD,1
AED,3.6725
AFN,71.38968
ALL,95.090084
AMD,402.63689
ANG,1.79
AOA,843.377328
ARS,852.25
AUD,1.524537
AWG,1.79
AZN,1.701211
BAM,1.798026
BBD,2
BDT,109.772924
BGN,1.797768
BHD,0.376
BIF,2857.417735
BMD,1
BND,1.338693
BOB,6.928054
BRL,4.99659
BSD,1
BTN,82.934673
BWP,13.660435
BYN,3.254008
BZD,2
CAD,1.353754
CDF,2725.241554
CHF,0.886368
CLP,941.739656
CNY,7.201997
COP,3884.727195
CRC,507.151878
CUP,24
CVE,101.368363
CZK,23.158348
DJF,177.721
DKK,6.858737
DOP,59.153179
DZD,134.584808
EGP,47.148221
ERN,15
ETB,56.688705
EUR,0.919317
FJD,2.252808
FKP,0.785617
FOK,6.858796
GBP,0.785618
GEL,2.698816
GGP,0.785617
GHS,12.998517
GIP,0.785617
GMD,65.961829
GNF,8568.579042
GTQ,7.80961
GYD,209.408783
HKD,7.819594
HNL,24.706233
HRK,6.926585
HTG,133.266329
HUF,362.832869
IDR,15722.289397
ILS,3.652604
IMP,0.785617
INR,82.934699
IQD,1312.222598
IRR,41939.483117
ISK,136.57481
JEP,0.785617
JMD,154.434419
JOD,0.709
JPY,149.134451
KES,134.181236
KGS,89.510364
KHR,4040.856681
KID,1.524537
KMF,452.273755
KRW,1334.267294
KWD,0.307342
KYD,0.833333
KZT,449.989715
LAK,20673.07242
LBP,89500
LKR,304.189125
LRD,193.488414
LSL,18.940652
LYD,4.807215
MAD,10.047872
MDL,17.674928
MGA,4484.690468
MKD,56.431363
MMK,2102.501136
MNT,3425.572266
MOP,8.054181
MRU,39.937731
MUR,45.915133
MVR,15.433612
MWK,1694.188269
MXN,16.817274
MYR,4.718528
MZN,63.839336
NAD,18.940652
NGN,1581.504199
NIO,36.816145
NOK,10.638916
NPR,132.695477
NZD,1.643478
OMR,0.384497
PAB,1
PEN,3.694645
PGK,3.767633
PHP,55.627935
PKR,278.770014
PLN,3.967817
PYG,7305.818764
QAR,3.64
RON,4.565345
RSD,107.704445
RUB,91.896081
RWF,1298.249807
SAR,3.75
SBD,8.284993
SCR,14.36021
SDG,454.132407
SEK,10.418823
SGD,1.338694
SHP,0.785617
SLE,22.677644
SLL,22677.644095
SOS,571.83527
SRD,35.372767
SSP,1595.136784
STN,22.523239
SYP,12899.629868
SZL,18.940652
THB,35.970343
TJS,10.946762
TMT,3.499816
TND,3.105385
TOP,2.335337
TRY,32.334676
TTD,6.764743
TVD,1.524537
TWD,31.6573
TZS,2534.370565
UAH,38.98952
UGX,3887.128959
UYU,38.542418
UZS,12564.257032
VES,36.2653
VND,24719.371419
VUV,120.378934
WST,2.742514
XAF,603.031673
XCD,2.7
XDR,0.75063
XOF,603.031673
XPF,109.7038
YER,250.376342
ZAR,18.940728
ZMW,25.371725
ZWL,18583.741441
